idx,subset,ref,wr_9A_global_rl_heavy,wr_9A_global_balanced,wr_9A_global_rougel_heavy,wr_9B_lugswa_rl_heavy,wr_9B_lugswa_balanced,wr_9B_lugswa_rougel_heavy,wr_9C_direct_BGE_top5,wr_9C_direct_BGE_top10,wr_9C_direct_BGE_top20,wr_9_routed,wr_stage5_routed
5609,Lug_Uga,Akawuka akaleeta Siriimu tekasobola kusaasaanyizibwa kuyita mu kugabana bikozesebwa mu kulya mmere n,0.74,0.3956,0.74,0.74,0.74,0.74,0.1781,0.1781,0.1781,0.74,0.74
5610,Lug_Uga,Okwegatta ng’oli mu nsonga kibeera kya kusalawo kya muntu ssekinnoomu era kusobola obutaba kya bulab,0.1092,0.1092,0.1102,0.1092,0.1092,0.1092,0.1092,0.1092,0.1102,0.1092,0.1144
5611,Lug_Uga,Kisipi asobola kuzuulibwa mu ddwaaliro mwokka. Tosobola kumukeberera waka oba ng’okozesa enkola yonn,0.126,0.126,0.126,0.74,0.74,0.74,0.126,0.126,0.126,0.74,0.126
5612,Lug_Uga,Eddagala lyombi eryesiigibwa mu nkwawa obutawunya n’okuziyiza entuuyo osobola okulikozesa ng’oli mu ,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5613,Lug_Uga,"Okuyonsa ng’olina Akawuka akaleeta Siriimu nsonga nzibu esinziira ku bintu ebiwerako, omuli obujjanj",0.1372,0.1372,0.1372,0.74,0.74,0.74,0.1085,0.144,0.144,0.74,0.74
5614,Lug_Uga,Okukozesa eby’okuzannyisa eby’okwegatta ng’engeri y’okumatiza obwagazi n’okwewala okwegatta n’abantu,0.74,0.74,0.74,0.74,0.74,0.74,0.068,0.068,0.068,0.74,0.74
5615,Lug_Uga,Okwekebeza okwa buli kiseera: Genda ew'omusawo buli kiseera okwekebejjebwa n’okukeberebwa obulamu bw,0.0461,0.0461,0.0461,0.0962,0.0962,0.0962,0.0962,0.0962,0.0962,0.0962,0.0677
5616,Lug_Uga,Eddagala lyombi eryesiigibwa mu nkwawa obutawunya n’okuziyiza entuuyo osobola okulikozesa ng’oli mu ,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5617,Lug_Uga,Buli ddagala lirina ebiragiro (amateeka) ku ngeri y’okulimira. Soma ebiragiro era obigoberere bulung,0.0156,0.74,0.0156,0.74,0.74,0.74,0.0587,0.0587,0.0587,0.74,0.0634
5618,Lug_Uga,"Okubeerawo kw’eddagala lya Siriimu ery’obwereere, eritera okuyitibwa eddagala eriziyiza Akawuka akal",0.0827,0.0827,0.0827,0.1405,0.1405,0.1405,0.1405,0.1405,0.1225,0.1405,0.1637
5619,Lug_Uga,Okusalawo oba okukuuma oba okugenda mu maaso n’enkolagana n’omwagalwa alina Akawuka akaleeta Siriimu,0.128,0.128,0.128,0.74,0.74,0.74,0.128,0.128,0.128,0.74,0.0991
5620,Lug_Uga,"Obuwuka obumu obuleeta Obulwadde bw'Ekikaba busobola okukosa obusobozi bw'okuzaala, naye singa bujja",0.0979,0.0979,0.0979,0.1741,0.1741,0.1741,0.0979,0.0979,0.0979,0.1741,0.2467
5621,Lug_Uga,"Yee, kikulu okukuuma akamwa nga kayonjo kiseera ky'okuvubuka, kubanga enkyukakyuka mu busannyalaze b",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5622,Lug_Uga,Obuleega (obw’abawala) n'obuwale bw'omunda (bw’abalenzi) buwa obuwagizi buyamba n'okutenkeza omubiri,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.0639
5623,Lug_Uga,Okuwummuzaamu okumira eddagala era ekimanyiddwa nga okutaataaganyizibwa kw'obujjanjabi kuzingiramu o,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5624,Lug_Uga,"Obuwuka bungi obuleeta Obulwadde bw'Ekikaba busbola obutalaga bubonero, ekitegeeza nti omuntu asobol",0.1057,0.1057,0.1057,0.1057,0.1057,0.1057,0.1671,0.1057,0.1057,0.1057,0.0
5625,Lug_Uga, Ekigambo okuddamu okufuuka embeerera si kya kisawo oba si kya ssaayansi wabula kya kinywi oba kya b,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5626,Lug_Uga,Akawuka akaleeta Siriimu kasobola okukosa obulamu bw’omuntu singa takajjanjabwa oba singa kakwatibwa,0.1896,0.1896,0.1896,0.74,0.74,0.74,0.1896,0.1896,0.1896,0.74,0.1896
5627,Lug_Uga,"Yee, kya bulijjo okufuna enkyukakyuka mu mbeera zo oba okukyuka mu birowoozo mu kiseera ky'okubeera ",0.74,0.74,0.74,0.74,0.74,0.74,0.2294,0.74,0.74,0.74,0.74
5628,Lug_Uga,Eddagala eriwonya Akawuka akaleeta Siriimu terinnazuulibwa. Akawuka akaleeta Siriimu kabadde kakyali,0.0999,0.0884,0.0884,0.0999,0.0999,0.0999,0.0919,0.0919,0.071,0.0999,0.0999
5629,Lug_Uga,"Akawuka akaleeta Omusujja gw'ekibumba ogwa B kalimu ebika bisatu nga bino mulimu acute, ak'olukonvub",0.1111,0.1111,0.1111,0.74,0.74,0.74,0.1111,0.1111,0.1111,0.74,0.1308
5630,Lug_Uga,Obubonero bulina okubula mu ssabbiiti bbiri ng'oli ku bujjanjabi. Singa obubonero bw’omuntu bugaana ,0.1266,0.1266,0.1266,0.1266,0.1266,0.1266,0.073,0.073,0.1266,0.1266,0.1266
5631,Lug_Uga,"Okuwangaala n'okuweeweeza Akawuka akaleeta Siriimu kisobokera ddala n'obujjanjabi obutuufu, obujjanj",0.0959,0.0959,0.0959,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.2236
5632,Lug_Uga,Emirundi gy’okweyonja oba okunaaba ng’oli mu kiseera ky'okuvubuka gisobola okwawukana okusinziira ku,0.0796,0.0796,0.0796,0.74,0.74,0.099,0.0796,0.0796,0.0796,0.74,0.099
5633,Lug_Uga,Buno bwe bukodyo bw’okuddukanya ebiva mu nkyukakyuka mu busannyalaze bw'omubiri: Entambuza y'obulamu,0.0876,0.0876,0.0876,0.1064,0.1064,0.1064,0.1064,0.1064,0.1064,0.1064,0.0495
5634,Lug_Uga,Beera wa mazima era omubuulire mu lwatu ng'omubuulira bw'owulira nga naawe bw'owuliriza ebirowoozo b,0.0569,0.0569,0.0569,0.0226,0.0245,0.0381,0.0477,0.0477,0.0477,0.0226,0.0378
5635,Lug_Uga,"Bw’oba olina Akawuka akaleeta Siriimu era ng’oyagala okufuna eddagala ng’abooluganda lwo tebamanyi, ",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5636,Lug_Uga,"Okwegatta n’omuwala omuto oba omuntu omulala yenna, awatali kufaayo ku myaka, nga teweetangidde n’ok",0.1176,0.1176,0.1176,0.1916,0.1916,0.1916,0.1176,0.1176,0.13,0.1916,0.0793
5637,Lug_Uga,"Yee, kisoboka omuntu okuba na Kawuka akaleeta Siriimu naye ne katasuumuka kufuuka Siriimu okumallira",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5638,Lug_Uga,"Kabootongo, singa aba tajjanjabiddwa, ayita mu mitendera okutuuka mu mutendera ogusembayo ekiyinza o",0.1104,0.1104,0.1104,0.1104,0.1104,0.1104,0.0622,0.1287,0.1287,0.1104,0.1104
5639,Lug_Uga,Kookolo nga ye si Bulwadde bwa Kikaba. Wabula waliwo Endwadde z'Ekikaba ezongera ku mikisa gy'omuntu,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5640,Lug_Uga,"Bw'ozuulibwa nti olina Akawuka akaleeta Siriimu, ebintu ebikulu ebiwerako bibaawo, era kikulu nnyo o",0.0973,0.0973,0.0773,0.74,0.74,0.74,0.0973,0.0973,0.0973,0.74,0.74
5641,Lug_Uga,"Kikulu okunywerera ku ky’okkiririzaamu nti kye kituufu, era singa wabaawo akupikiriza, ako kabeera k",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.0811,0.74,0.0804
5642,Lug_Uga,Kubanga bw'oteegatta tosobola kukwatibwa Buwuka buleeta Bulwadde bwa Kikaba.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5643,Lug_Uga,"Okutundira eddagala mu matundiro gaalyo, omuli ery'okuziyiza embuto okw'amangu (EC) eri abavubuka ku",0.74,0.1498,0.1498,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5644,Lug_Uga,"Yee, Endwadde ez’Ekikaba nnyingi, ng’oggyeeko Akawuka akaleeta Siriimu, zirina eddagala eriziwonya o",0.1009,0.1009,0.1009,0.74,0.74,0.74,0.1009,0.1009,0.0569,0.74,0.0569
5645,Lug_Uga,"Nedda, teri ddagala lyakakasibwa kugema kawuka akaleeta Siriimu.",0.037,0.037,0.037,0.2691,0.037,0.037,0.0306,0.037,0.037,0.2691,0.0306
5646,Lug_Uga,Enziku kawuka akaleeta obulwadde bw'ekikaba ak'ekika kya bbakitiiriya ekeeyoleka ennyo era nga kaziy,0.077,0.077,0.077,0.74,0.74,0.74,0.0791,0.077,0.077,0.74,0.74
5647,Lug_Uga,Abantu abamu balowooza nti tebali mu katyabaga ka kukwatibwa kawuka ate abalala batya okumanya ebivu,0.0647,0.0647,0.0647,0.74,0.74,0.74,0.74,0.0462,0.0458,0.74,0.74
5648,Lug_Uga,"Bw'oba okkiriza nti olwanagana n'ekizibu ky'eddoowo ly'okwegatta era ng'oyagala okukivvuunuka, kikul",0.0955,0.0955,0.0955,0.74,0.74,0.74,0.74,0.0955,0.1309,0.74,0.74
5649,Lug_Uga,Tewali ddagala liwonyeza ddala Kawuka akaleeeta Siriimu ng’oggyeeko eddagala erikaweweezaako. Enkola,0.1206,0.1206,0.1206,0.0961,0.0961,0.0961,0.111,0.1206,0.1206,0.0961,0.0961
5650,Lug_Uga,Akawuka akaleeta Siriimu tekatwalibwa kuba nti nga kawona mu ngeri nti akawuka kano kasobola okumali,0.1488,0.1488,0.1488,0.74,0.74,0.74,0.1205,0.1165,0.1181,0.74,0.1586
5651,Lug_Uga,"Yee, okwongereza ku kukozesa obupiira, waliwo engeri endala nnyingi ez'okuziyiza okusaasaana kw'obuw",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5652,Lug_Uga,Okulabula omuntu ku katyabaga k'okwegatta n’abantu abalina Akawuka akaleeta Siriimu oba abalina Obuw,0.0822,0.115,0.1181,0.115,0.115,0.115,0.115,0.115,0.0666,0.115,0.0779
5653,Lug_Uga,Tewali mmere ntongole esobola kuwonya oba okujjanjaba obutereevu Endwadde z’Ekikaba oba okukubisa mu,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.1088
5654,Lug_Uga,"Nedda, okukwatagana obukwataganyi n’omuntu alina Akawuka akaleeta Siriimu tekusobola kuvaako kusiigi",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.1023
5655,Lug_Uga,Okukola enkwaso: Enkwaso zikolebwa mu nsigo z'abasajja nga ziyita mu nkola eyitibwa okukula kw'enkwa,0.0437,0.0437,0.0882,0.0529,0.0529,0.0529,0.0529,0.0529,0.0529,0.0529,0.0529
5656,Lug_Uga,"Bw’oba ozuuliddwa nti olina Akawuka akaleeta Siriimu, kikulu okukola emitendera egiwerako egy’amangu",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5657,Lug_Uga,"PEP kye kigambo ekitegeeza ""Post-Exposure Prophylaxis."" Eno y'enkola y'ekisawo etangira okukwatibwa ",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.1591
5658,Lug_Uga,"Faayo ku kuvaamu amazzi agatali ga bulijjo, okusiiyibwa, okubabuukirirwa ng'ofuuyisa, amabwa, era ng",0.0608,0.0608,0.0617,0.2041,0.2041,0.2041,0.2041,0.0608,0.0608,0.2041,0.2041
5659,Lug_Uga,Kya nnaku okuwulira nti maama wo yafa. Singa weekengera nti maama wo ayinza okuba nga yafa Akawuka a,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.1233,0.1233,0.74,0.74
5660,Lug_Uga,Akawuka akaleeta Siriimu/Siriimu kaweweezebwa ne ARVs ng'oluusi zigattibwa wamu n'eddagala eddala er,0.0885,0.0866,0.0885,0.0685,0.0685,0.0685,0.0885,0.0885,0.0487,0.0685,0.0613
5661,Lug_Uga,Okukebera omwana wo Akawuka akaleeta Siriimu y’engeri yokka enkakafu ey’okumanya oba omwana wo alina,0.1057,0.1273,0.0831,0.1317,0.1317,0.1317,0.0831,0.1317,0.148,0.1317,0.1317
5662,Lug_Uga,Obuwuka obuleeta Endwadde z’Ekikaba tebuviirako Siriimu oba Akawuka akamuleeta bwo kennyini. Wabula ,0.74,0.74,0.74,0.74,0.74,0.74,0.1712,0.1712,0.1712,0.74,0.1712
5663,Lug_Uga,"Okukolola okujjirako ekikolondolwa (eminyira) oba omusaayi okumala wiiki ezisukka mu 3, okulumwa mu ",0.74,0.74,0.74,0.74,0.74,0.74,0.1057,0.1057,0.1057,0.74,0.1057
5664,Lug_Uga,Si bwe kiri yadde n'akatono; sampolo ekuŋŋaanyizibwa okuyita mu kukufumitako ku kasongezo k'olugalo ,0.0298,0.0442,0.0442,0.0285,0.04,0.0285,0.0285,0.04,0.0298,0.0285,0.0712
5665,Lug_Uga,"Yee, Akawuka akaleeta Siriimu kasobola okukosa obwongo bw'omuntu mu ngeri ez’enjawulo. Enkosa y'Akaw",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5666,Lug_Uga,Singa omuntu yeenyigidde mu kwegatta okutaliimu kwetangira era nga tamanyi mbeera ya bulamu bwa mube,0.1064,0.74,0.1064,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5667,Lug_Uga,Okuwulira ensonyi oba okuswala ku nsonga ezikwata ku myaka gy’obuvubuka kya bulijjo olw’emizizo gy'e,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5668,Lug_Uga,"Obulwadde bw'Ekikaba kitegeeza “obulwadde obusiigibwa nga buyita mu kwegatta,” ate Obuwuka obuleeta ",0.0866,0.1133,0.1133,0.0935,0.1104,0.0935,0.0935,0.1321,0.1113,0.0935,0.0785
5669,Lug_Uga,Okwaŋŋanga okwennyamira n'okweraliikirira kiyinza okuba ekizibu naye wasobola okubaawo enkola ennung,0.0661,0.0931,0.0661,0.74,0.74,0.74,0.0467,0.0467,0.0746,0.74,0.0467
5670,Lug_Uga,Babeererewo bubeerezi era obamanyise nti ofaayo.,0.029,0.029,0.0336,0.74,0.74,0.74,0.1741,0.0336,0.0257,0.74,0.0198
5671,Lug_Uga,Eky’okuddamu kya kino kisinziira ku ggwe ng'omuntu. Olina okulonda abantu be weesigira ddala n’abant,0.0649,0.0649,0.0649,0.74,0.74,0.74,0.0977,0.0977,0.0325,0.74,0.74
5672,Lug_Uga,"Nedda, okubeera n’Akawuka akaleeta Siriimu tekitegeeza nti tekyewalika kuba nti ojja kufa akawuka ka",0.74,0.74,0.74,0.74,0.74,0.74,0.0797,0.0797,0.74,0.74,0.1797
5673,Lug_Uga,"Nsonyiwa, naye sirina busobozi bwa kutuuka ku biwe eby'enjawulo ebiraga omuwendo gw'abayizi abaakwat",0.1226,0.1226,0.1226,0.74,0.74,0.74,0.74,0.0846,0.0846,0.74,0.74
5674,Lug_Uga,"Embeera ng’omu ku baagalana alina Akawuka akaleeta Siriimu, ate ng'omulala takalina ya bulijjo. Wali",0.0359,0.0359,0.0359,0.74,0.74,0.74,0.74,0.0359,0.0359,0.74,0.74
5675,Lug_Uga,"Okukwatibwa ebika by'Akawuka akaleeta Siriimu ebisukka ku kimu kiyitibwa ""okulwalannakabirye"". Embee",0.129,0.129,0.1069,0.74,0.74,0.74,0.74,0.1069,0.1069,0.74,0.1047
5676,Lug_Uga,Okugyisa abalwadde b'Akawuka akaleeta Siriimu mu mbeerabantu kyetaagisa okusobola okukendeeza ku kub,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5677,Lug_Uga,Kisipi asobola kuzuulibwa mu ddwaaliro mwokka. Tosobola kumukeberera waka oba ng’okozesa enkola yonn,0.126,0.126,0.126,0.74,0.74,0.74,0.126,0.1333,0.1333,0.74,0.126
5678,Lug_Uga,Emikisa gy'okubaana abooluaganda abazaalibwa taata alina Akawuka akaleeta Siriimu ne maama atakalina,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5679,Lug_Uga,Ekitongole ky’Ebyobulamu mu Nsi yonna kikola omulimu munene mu kulwanyisa Akawuka akaleeta Siriimu/S,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5680,Lug_Uga,Kino kitegeeza ekiseera okuva lwe wakwatibwa akawuka okutuuka lwe kasobola okuzuulibwa mu mubiri gwo,0.74,0.74,0.74,0.74,0.74,0.74,0.1215,0.1215,0.1215,0.74,0.74
5681,Lug_Uga,Okusalawo okugabanako ne mikwano gyo ebikwata ku mbeera yo ku Kawuka akaleeta Siriimu oba obutakikol,0.0854,0.0854,0.0854,0.74,0.74,0.74,0.74,0.74,0.0509,0.74,0.74
5682,Lug_Uga,Osobola okufuna eddagala eriziyiza okufuna olubuto okuva mu bifo eby'enjawulo n'awali enkola z'kizaa,0.0514,0.0514,0.0514,0.74,0.74,0.74,0.0514,0.0514,0.0514,0.74,0.0514
5683,Lug_Uga,"Yee, abasajja basobola okukwatibwa Obuwuka obuleeta Obulwadde bw'Ekikaba ng’abakyala, kale buli munt",0.74,0.74,0.74,0.74,0.74,0.74,0.4163,0.4163,0.4163,0.74,0.74
5684,Lug_Uga,"Singa ozuulwamu Akawuka akaleeta Siriimu, osobola okuzaala abaana abatakalina! Osobola okufuna obujj",0.1682,0.1682,0.1682,0.1045,0.1045,0.1045,0.1447,0.1051,0.1195,0.1045,0.1045
5685,Lug_Uga,Singa omuntu ssekinnoomu azuulwamu Akawuka akaleeta Siriimu naye ng’akaluubirirwa okukiriziganya n'e,0.0876,0.0876,0.0876,0.0876,0.0876,0.74,0.0876,0.0876,0.0876,0.0876,0.0876
5686,Lug_Uga,Singa omuntu ssekinnoomu azuulwamu Akawuka akaleeta Siriimu naye ng’akaluubirirwa okukiriziganya n'e,0.091,0.091,0.091,0.74,0.74,0.74,0.091,0.091,0.091,0.74,0.0804
5687,Lug_Uga,1. Tuliici akwata omuyitiro gw'omusulo n'ebitundu by'ekyama.2. Tuliici akwata Akamwa.3. Tuliici akwa,0.0361,0.0361,0.0361,0.74,0.74,0.74,0.0705,0.0705,0.0586,0.74,0.0705
5688,Lug_Uga,Kiramidiya era amanyiddwa nga Akawuka ka Kiramidiya akalwaza Ebitundu by'ekyama n'omuyitiro gw'omusu,0.0776,0.1711,0.0776,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.1233
5689,Lug_Uga,Obuvubuka mu basajja: Obuvubuka kye kiseera ky’okukula ng’omubiri gw’omulenzi gukyuka ne gufuuka omu,0.1088,0.1088,0.1088,0.1903,0.1903,0.1903,0.0876,0.1088,0.1088,0.1903,0.1903
5690,Lug_Uga,"Abantu abatalaga bubonero bwa Kawuka kaleeta Siriimu abatera okuyitibwa ""Bassekinnoomu abalina Akawu",0.74,0.74,0.74,0.74,0.74,0.74,0.167,0.74,0.74,0.74,0.167
5691,Lug_Uga,"Obuyonjo obulungi buyamba, naye tebudda mu kifo kya bwetaavu bwa kwetangira na bupiira.",0.0457,0.0457,0.0457,0.74,0.74,0.74,0.0457,0.0457,0.0457,0.74,0.0457
5692,Lug_Uga,Akawuka akaleeta Siriimu okusinga kasiigibwa okuyita mu kukwatagana n’amazzi ag’omubiri ag’enjawulo ,0.74,0.74,0.74,0.74,0.74,0.74,0.2051,0.74,0.74,0.74,0.1573
5693,Lug_Uga,"Okusinziira ku kye nnasembyeyo okumanya, tewali ddagala ligema Kawuka akaleeta Siriimu eryakakasiddw",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5694,Lug_Uga,Ekitongole ky’Ebyobulamu mu Nsi yonna kikola omulimu munene mu kulwanyisa Akawuka akaleeta Siriimu/S,0.1312,0.1312,0.1312,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5695,Lug_Uga,Akawuka akaleeta Siriimu tekasobola kusaasaanyizibwa kuyita mu kugabana bikopo oba kukwata ku bikoze,0.2691,0.2691,0.2691,0.74,0.74,0.74,0.2083,0.1158,0.1708,0.74,0.74
5696,Lug_Uga,Okuvumbula okwakasembayo mu nzijanjaba eweweeza ku Kawuka akaleeta Siriimu evuddemu okutondawo enkol,0.0816,0.0816,0.0816,0.74,0.74,0.74,0.062,0.0816,0.0816,0.74,0.1043
5697,Lug_Uga,Kikulu nnyo okukimanya nti okuwulira ennaku oba emmeeme okwennyika oluusi n’oluusi kya bulijjo nadda,0.0799,0.1436,0.74,0.74,0.74,0.74,0.0799,0.0799,0.0799,0.74,0.74
5698,Lug_Uga,Oba kirungi abavubuka okwenyigira mu bikolwa eby’okwegatta oba nedda kisinziira ku bintu ebitali bim,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.1499
5699,Lug_Uga,Kisipi asobola kuzuulibwa mu ddwaaliro mwokka. Tosobola kumukeberera waka oba ng’okozesa enkola yonn,0.1138,0.1138,0.1138,0.74,0.74,0.74,0.74,0.126,0.126,0.74,0.0804
5700,Lug_Uga,"Tuliici, Bulwadde bwa Kikaba obuleetebwa akawuka ka pulotozowa/akanyuunyunsi akayitibwa Trichomonas ",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.0747
5701,Lug_Uga,"Kisobola okubeera eky'obulabe, kubanga bw’omala okusindika ekintu, obeera tokyakirinako buyinza ku w",0.0187,0.0,0.0365,0.74,0.74,0.74,0.0365,0.0365,0.0365,0.74,0.0365
5702,Lug_Uga,"Nedda, okunaaba mu bukyala ne sooda wa Coca-Cola oba ekyokunywa oba ekintu ekirala kyonna tekujja ku",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5703,Lug_Uga,Enkola z'okwegatta ezitangira okusaasaanyizibwa kw'Omusujja gw'ekibumba ogwa B mulimu okuba omwesigw,0.74,0.74,0.74,0.74,0.74,0.74,0.0905,0.74,0.74,0.74,0.0943
5704,Lug_Uga,Okwekebeza Akawuka akaleeta Siriimu kikulu nnyo mu kumanya embeera yo n’okuyita mu emitendera egisaa,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5705,Lug_Uga,"Bw’oba ng'ovaamu omusaayi mungi ng'oli mu nsonga oba ng'okufuna obulumi, kikulu okwogera n’omusawo. ",0.081,0.081,0.081,0.0283,0.1003,0.0283,0.1003,0.081,0.081,0.0283,0.081
5706,Lug_Uga,Akawuka akaleeta Siriimu kasobola okukosa obulamu bw’omuntu singa takajjanjabwa oba singa kakwatibwa,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.162,0.74,0.1005
5707,Lug_Uga,"Okusinziira ku kitongole kya Centers for Disease Control and Prevention, obubonero bw'Akawuka akalee",0.1494,0.1494,0.1494,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.086
5708,Lug_Uga,Kiramidiya oba Akawuka ka Kiramidiya akalwaza Ebitundu by'ekyama n'omuyitiro gw'omusulo Kawuka akale,0.1886,0.1886,0.1886,0.74,0.74,0.74,0.1439,0.1439,0.1439,0.74,0.0835
5709,Lug_Uga,"Akawuka akaleeta Siriimu bulwadde bwa bulamu bwonna, naye singa omuntu afuna okulabirirwa n’obujjanj",0.1035,0.1035,0.1035,0.0685,0.0685,0.0685,0.0685,0.1159,0.1159,0.0685,0.1035
5710,Lug_Uga,"PEP kye kigambo ekitegeeza ""Post-Exposure Prophylaxis."" Eno y'enkola y'ekisawo etangira okukwatibwa ",0.1591,0.1591,0.1591,0.1998,0.1998,0.1138,0.1998,0.1998,0.1998,0.1998,0.161
5711,Lug_Uga,"Nedda, okubeera omukovvu oba okuba n’ekika ky’omubiri ekimu tekirina kakwate butereevu na mbeera ya ",0.0893,0.0893,0.0893,0.1995,0.1995,0.1995,0.1995,0.1995,0.1995,0.1995,0.1147
5712,Lug_Uga,Ekiseera ky'okumira eddagala eriziyiza Akawuka akaleeta Siriimu oluvannyuma lw'okwetaba mu mbeera ek,0.2224,0.2224,0.185,0.74,0.74,0.74,0.74,0.2224,0.2224,0.74,0.089
5713,Lug_Uga,Okusalawo ddi n’engeri y’okutegeeza maama wo oba omuntu yenna ow’omu maka nti olina Akawuka akaleeta,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5714,Lug_Uga,"Yingira mu nsonga bw’oba osobola okukikola nga tekireese buzibu, oba funa obuyambi okuva eri omuntu ",0.0749,0.0749,0.0749,0.74,0.0714,0.0714,0.0714,0.0714,0.0714,0.74,0.0714
5715,Lug_Uga,"Akawuka akaleeta Siriimu okusinga kakosa abaserikale b’omubiri, nga kagenderera okwonoona obutoffaal",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5716,Lug_Uga,"Yee, kya bulijjo nnyo okugejja ng’oli mu myaka gy’obuvubuka. Omubiri gwo guyita mu nkyukakyuka nnyin",0.0853,0.0853,0.0853,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5717,Lug_Uga,Akawuka akaleeta Siriimu kasobola obutalagirawo bubonero mu ngeri nnyingi. Obubonero bwe bweyoleka b,0.74,0.74,0.74,0.74,0.74,0.74,0.0845,0.0845,0.0845,0.74,0.0845
5718,Lug_Uga,Emboozi y'okwogera ku embeera ku Kawuka akaleeta Siriimu eri omubeezi wo esobola okuba nga ya kwegen,0.1128,0.1128,0.1128,0.74,0.74,0.74,0.1128,0.1128,0.1128,0.74,0.74
5719,Lug_Uga,"Bw’ofuna obubonero obutali bwa bulijjo ng'oli mu nsonga z'ekikyala, kikulu okufaayo ku mubiri gwo n’",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5720,Lug_Uga,"Kiramidiya, era amanyiddwa Akawuka ka Kiramidiya akalwaza Ebitundu by'ekyama n'omuyitiro gw'omusulo,",0.0869,0.1558,0.0869,0.0228,0.0228,0.0869,0.0431,0.0431,0.1558,0.0228,0.0357
5721,Lug_Uga,Okubeera n’Akawuka akaleeta Siriimu tekitegeeza nti ogenda kufa. Olw’enkulaakulana mu bujjanjabi nad,0.1836,0.1836,0.1836,0.1836,0.1836,0.1836,0.1836,0.1652,0.1519,0.1836,0.1836
5722,Lug_Uga,"Bw'oba olina Akawuka akaleeta Siriimu ng'oli lubuto, waliwo enkola ez'enjawulo ezikozesebwa okukakas",0.1159,0.1159,0.1159,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5723,Lug_Uga,Okukwatibwa n'obutakwatibwa Bulwadde bwa Kikaba si kabonero kalaga buyonjo bwo era okunaaba oluvanny,0.0522,0.0166,0.0522,0.74,0.74,0.74,0.0305,0.0288,0.0375,0.74,0.0305
5724,Lug_Uga,"Okuwa obuyambi bw’emmere, omuli n’obuwunga bw’obuugi, eri abantu ssekinnoomu abalina Akawuka akaleet",0.0983,0.0983,0.0983,0.0992,0.0992,0.0992,0.0992,0.084,0.0733,0.0992,0.0992
